band,wavelength,throughput_frac
B, 3566.0, 0.000
B, 3585.4, 0.004
B, 3604.8, 0.008
B, 3624.2, 0.012
B, 3643.6, 0.016
B, 3663.0, 0.024
B, 3682.4, 0.035
B, 3701.7, 0.050
B, 3721.1, 0.065
B, 3740.5, 0.083
B, 3759.8, 0.117
B, 3779.2, 0.169
B, 3798.5, 0.238
B, 3817.9, 0.308
B, 3837.2, 0.380
B, 3856.6, 0.449
B, 3875.9, 0.517
B, 3895.2, 0.584
B, 3914.5, 0.652
B, 3933.8, 0.719
B, 3953.2, 0.770
B, 3972.5, 0.805
B, 3991.8, 0.827
B, 4011.1, 0.850
B, 4030.3, 0.872
B, 4049.6, 0.892
B, 4068.9, 0.909
B, 4088.2, 0.923
B, 4107.4, 0.938
B, 4126.7, 0.952
B, 4146.0, 0.963
B, 4165.2, 0.971
B, 4184.5, 0.978
B, 4203.7, 0.984
B, 4223.0, 0.990
B, 4242.2, 0.994
B, 4261.4, 0.997
B, 4280.7, 0.998
B, 4299.9, 1.000
B, 4319.1, 1.000
B, 4338.3, 0.998
B, 4357.5, 0.992
B, 4376.7, 0.985
B, 4395.9, 0.978
B, 4415.1, 0.969
B, 4434.3, 0.957
B, 4453.5, 0.942
B, 4472.7, 0.925
B, 4491.8, 0.908
B, 4511.0, 0.891
B, 4530.2, 0.874
B, 4549.3, 0.858
B, 4568.5, 0.841
B, 4587.6, 0.824
B, 4606.8, 0.807
B, 4625.9, 0.789
B, 4645.1, 0.770
B, 4664.2, 0.751
B, 4683.3, 0.731
B, 4702.5, 0.711
B, 4721.6, 0.689
B, 4740.7, 0.666
B, 4759.8, 0.642
B, 4778.9, 0.618
B, 4798.0, 0.594
B, 4817.1, 0.571
B, 4836.2, 0.548
B, 4855.3, 0.525
B, 4874.4, 0.501
B, 4893.5, 0.478
B, 4912.5, 0.455
B, 4931.6, 0.433
B, 4950.7, 0.410
B, 4969.7, 0.387
B, 4988.8, 0.363
B, 5007.8, 0.340
B, 5026.9, 0.317
B, 5045.9, 0.293
B, 5065.0, 0.269
B, 5084.0, 0.247
B, 5103.0, 0.228
B, 5122.1, 0.211
B, 5141.1, 0.195
B, 5160.1, 0.179
B, 5179.1, 0.162
B, 5198.2, 0.146
B, 5217.2, 0.130
B, 5236.2, 0.113
B, 5255.2, 0.097
B, 5274.2, 0.081
B, 5293.1, 0.068
B, 5312.1, 0.056
B, 5331.1, 0.044
B, 5350.1, 0.031
B, 5369.1, 0.022
B, 5388.0, 0.015
B, 5407.0, 0.011
B, 5426.0, 0.008
B, 5444.9, 0.004

