observation_order,target_name,ra,dec,azi,alt,flat_level,exposure_s,delay_between_frame_s,n_max_frames,jd_utc_begin,jd_utc_end,obs_process_id,astrometry_solve,use_subpixel,last_of_this_obs
1,bias_test,47.36893066,30.67357305,,,,0,0,5,2460320.9070000000 ,2460320.9300000000 ,,,,
2,flat_test,47.36893066,30.67357305,,,10000,180,0,5,2460320.9500000000 ,2460320.9700000000 ,,,,
3,WASP-11_test,47.3689307,30.6735731,,,,180,0,5,2460320.9770000000 ,2460321.6900000000 ,,,,
4,asteroid_streak_test,139.6,23.729,,,,60,0,5,2460742.205,2460742.3555000000 ,,,,
5,supernova_0,185,60,,,,20,600,1,2460775.2000000000 ,2460775.3000000000 ,,,,
6,supernova_1,185,60,,,,20,600,1,2460800.2000000000 ,2460800.3000000000 ,,,,
7,satellite_test,206.388,43.242,,,,10,60,5,2460814.1970000000 ,2460814.2253691800 ,,,,
8,asteroid_test,252.1984583,21.38002777,,,,20,300,5,2460814.2,2460814.3553691800 ,,,,
9,occultation_test,157.892,20.243,,,,1,0,5,2461024.202,2461024.4,,,,
10,binary_test,28.6195,20.7129,,,,60,300,5,2461029.11,2461029.4,,,,
11,flare_test,151.1398,23.4929,,,,60,60,5,2461112.2089,2461112.3,,,,
